category_name,category_reference,item_id,item_name,offer,old_price,price,quantity
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,5,Carnivore Punjabi Seekh Kebab - Chicken,10% OFF,"₹,260","₹,234",500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,5,Carnivore Punjabi Seekh Kebab - Chicken,10% OFF,"₹,260","₹,234",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,4,Pedigree Meat & Rice Dry Food (Adult) - Free Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult),11% OFF,"₹,260","₹,230",1.2kg + 80gm
Beverages,https://grofers.com/cn/beverages/cid/12,7,Coca-Cola Soft Drink (Bottle),31% OFF,"₹,35","₹,24",600 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,6,Parle Hide & Seek Bourbon Black Vanilla creme Biscuit - Buy 3 Get 1 Free,25% OFF,"₹,100","₹,75",4x100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,9,Rajrani Grass Stick Broom - Pack of 2,52% OFF,"₹,198","₹,95",2x1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,11,Pears Pure & Gentle Soap,0,"₹,164","₹,157",3x125 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,14,Patanjali Super Dishwash Bar - Pack of 4,0,0,"₹,40",4x175 gm
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,8,Luv Lap Paraben Free Wet Baby Wipes,25% OFF,"₹,99","₹,74",80 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,24,Best Value Maida,42% OFF,"₹,28","₹,16",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,14,Muskmelon,0,0,"₹,45",1 unit (0.8-1.2 kg)
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,20,Green Capsicum,18% OFF,"₹,44","₹,36",500 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,10,Spaces Atrium 10 Pcs 434 GSM 100% Cotton Bath Towel Set (Directoire Blue & Orange),59% OFF,"₹,2495","₹,999",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,6,Kissan Fresh Tomato Ketchup (Pouch),26% OFF,"₹,125","₹,92",950 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,6,Best Value White Eggs,51% OFF,"₹,100","₹,49",10 units
Pet Care,https://grofers.com/cn/pet-care/cid/5,5,Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult) - Pack of 8,5% OFF,"₹,240","₹,226",8x80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,8,Cadbury Bournvita Pro-Health Chocolate Health Drink (Jar),18% OFF,"₹,378","₹,307",1 kg
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,7,Glonuts American Almonds,34% OFF,"₹,125","₹,82",100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,10,"Pronto Lima 6457 - BL 600D Polyester 4W Check-in Luggage Trolley Bag (68 cm Medium, Blue)",63% OFF,"₹,8376","₹,3099",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,12,Dove Beauty Cream Soap,0,"₹,172","₹,165",3x100 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,15,Harpic Power Original Toilet Cleaner,22% OFF,"₹,80","₹,62",500 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,9,Dabur Lal Baby Massage Oil,20% OFF,"₹,170","₹,136",200 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,25,Best Value Green Cardamom Whole/Elaichi,42% OFF,"₹,160","₹,92",50 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,15,Sapota (Chikoo),18% OFF,"₹,50","₹,41",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,21,Cabbage,0,0,"₹,10",1 unit (500-800 gm)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,11,Grofers Hollow Polyester Staple Fiber Pillow (White) - Pack of 4,58% OFF,"₹,1398","₹,587",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,7,Best Value Cooking Soda - Pack of 2,5% OFF,"₹,20","₹,19",2x50 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,7,Best Value Eggs (White),55% OFF,"₹,300","₹,133",30 units
Pet Care,https://grofers.com/cn/pet-care/cid/5,6,Pedigree Chicken Chunks in Gravy Wet Food (Puppy) - Pack of 8,5% OFF,"₹,240","₹,226",8x80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,9,Tata Gold Tea (Pouch),17% OFF,"₹,216","₹,178",500 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,8,Glonuts Green Raisins,59% OFF,"₹,245","₹,99",500 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,11,Grofers 2 Ply Paper Napkins (50 Pulls),34% OFF,"₹,58","₹,38",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,13,Dabur Red Toothpaste,25% OFF,"₹,92","₹,69",200 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,16,Active Wheel 2 in 1 Clean & Fresh Detergent Powder,6% OFF,"₹,49","₹,46",1 kg
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,10,Johnson's Skincare Baby Wipes - Pack of 2,21% OFF,"₹,380","₹,297",2x80 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,26,Best Value Mix Dal,53% OFF,"₹,88","₹,41",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,16,Robusta Banana,8% OFF,"₹,48","₹,44",6 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,22,Kiwi - Imported,20% OFF,"₹,150","₹,120",6 units
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,12,Grofers 2 Ply Kitchen Towel - Pack of 2,35% OFF,"₹,140","₹,91",2x60units
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,8,Maggi Masala Noodles - Pack of 4,6% OFF,"₹,44","₹,41",4x70 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,8,Best Value Curry Cut - Chicken,40% OFF,"₹,300","₹,179",1 kg
Pet Care,https://grofers.com/cn/pet-care/cid/5,7,Pedigree Chicken & Milk Dry Food (Puppy),10% OFF,"₹,1800","₹,1620",10 kg
Beverages,https://grofers.com/cn/beverages/cid/12,10,Tata Agni Tea (Pouch),24% OFF,"₹,58","₹,44",250 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,9,Best Value Flax Seeds,40% OFF,"₹,25","₹,15",100 gm
